id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao
465597;2010;REQ;6162;Requer a formação de uma Comissão Externa sem ônus para a Câmara dos Deputados, para acompanhar e construir soluções para resolver a situação de aproximadamente 7.500 famílias, moradoras da  região do Jardim  Romano e adjacências. na zona leste da capital paulista, que sofrem há quase dois meses os efeitos do alagamento da região.;[('Paulo Teixeira', 10000, 'Deputado')];None
465614;2010;PL;6730;Dispõe sobre a criação de Varas Criminais para julgar e processar Crimes praticados contra a Infância e a Juventude.;[('Mendonça Prado', 10000, 'Deputado')];1120
465615;2010;PL;6731;Acrescenta inciso ao art. 252 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para estabelecer infração referente a modo indevido de dirigir  veículo automotor.;[('Marçal Filho', 10000, 'Deputado')];923
465617;2010;REQ;6163;Requer, nos termos do art. 155 do RICD, urgência para a apreciação do PL 6.720/2010.;[('Líderes', 80000, 'Liderança')];None
465625;2010;PL;6732;Altera a Lei nº 4.771, de 15 de setembro de 1965 (Código Florestal), a Lei nº 6.766, 19 de dezembro de 1979, a Lei nº 6.015, de 31 de dezembro de 1973, a Lei nº 11.284,  02 de março de 2006, a Lei nº11.428, de 28 de agosto de 2006 e a Lei nº 9.985, de 18 de julho de  2000,  no que diz respeito à área de preservação permanente e à reserva legal e instituição do Condomínio Ambiental de Áreas Ambientalmente Protegidas.;[('Regis de Oliveira', 10000, 'Deputado')];923
465633;2010;REQ;6164;Requeremos a convocação de Sessão Solene da Câmara dos Deputados para o dia 08 de fevereiro de 2010, às 10 horas.;[('Dr. Talmir', 10000, 'Deputado'), ('Hugo Leal', 10000, 'Deputado'), ('João Almeida', 10000, 'Deputado'), ('João Campos', 10000, 'Deputado'), ('Pastor Pedro Ribeiro', 10000, 'Deputado'), ('Sandro Mabel', 10000, 'Deputado')];923
465650;2010;REQ;6165;Requer a inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 300, de 2008.;[('Eduardo da Fonte', 10000, 'Deputado')];None
465652;2010;REQ;6166;"Requer inclusão na Pauta de Votações do Projeto de Emenda a Constituição nº 549 de 2006, que ""acrescenta preceito às Disposições Constitucionais Gerais, dispondo sobre o regime constitucional peculiar das Carreiras Policiais que indica"".";[('Raimundo Gomes de Matos', 10000, 'Deputado')];None
465653;2010;REQ;6167;Requer Voto de Pesar pelo falecimento da assistente social NEIDE CASTANHA.;[('Vanessa Grazziotin', 10000, 'Deputado')];923
465655;2010;RIC;4666;Solicita ao Senhor Ministro da Saúde informações sobre os casos de hepatite no Amazonas.;[('Vanessa Grazziotin', 10000, 'Deputado')];923
